x,y,cluster
19.700001,18.799999,5
11.54,30.110001,0
27.15,9.81,2
19.700001,18.799999,5
27.15,9.81,2
11.54,30.110001,0
27.15,9.81,2
27.15,9.81,2
27.15,9.81,2
11.54,30.110001,0
11.54,32.599998,0
19.700001,18.799999,5
19.700001,18.799999,5
27.15,9.81,2
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
19.700001,18.799999,5
19.700001,18.799999,5
11.54,30.110001,0
27.15,15.6,2
11.54,32.599998,0
11.54,32.599998,0
27.15,9.81,2
11.54,30.110001,0
27.15,9.81,2
27.15,9.81,2
19.700001,18.799999,5
11.54,32.599998,0
27.15,9.81,2
19.700001,18.799999,5
19.700001,18.799999,5
11.54,32.599998,0
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,25.200001,0
2.2,31.9,3
27.15,9.81,2
19.700001,18.799999,5
27.15,9.81,2
11.54,32.599998,0
11.54,30.110001,0
27.15,9.81,2
11.54,29.200001,0
19.700001,18.799999,5
27.15,9.81,2
11.54,30.110001,0
19.700001,18.799999,5
11.54,32.599998,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
11.54,32.599998,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
19.700001,18.799999,5
27.15,9.3,2
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
19.700001,18.799999,5
-4.1,30.110001,3
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
1.1,34.380001,3
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
19.700001,18.799999,5
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,25.6,0
9.1,30.110001,0
11.54,30.110001,0
19.700001,18.799999,5
19.700001,18.799999,5
19.700001,18.799999,5
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,25.6,0
11.54,30.110001,0
9.1,30.110001,0
11.54,25.6,0
11.54,30.110001,0
27.15,9.81,2
27.15,9.81,2
27.15,9.81,2
19.700001,18.799999,5
11.54,25.6,0
11.54,25.6,0
-14.9,18.299999,6
11.54,25.6,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
11.54,25.6,0
11.54,30.110001,0
-14.9,18.299999,6
-14.9,18.299999,6
27.15,9.81,2
27.15,9.81,2
11.54,30.110001,0
27.15,9.81,2
11.54,25.6,0
11.54,30.110001,0
11.54,25.6,0
11.54,30.110001,0
11.54,25.6,0
-14.9,18.299999,6
11.54,30.110001,0
27.15,9.81,2
-14.9,18.299999,6
11.54,25.6,0
7.9,34.380001,0
11.54,25.6,0
11.54,25.6,0
-14.9,18.299999,6
11.54,25.6,0
-14.9,18.299999,6
11.54,30.110001,0
27.15,9.81,2
11.54,25.6,0
-2.8,31.450001,3
11.54,25.6,0
27.15,9.81,2
-16.0,18.299999,6
-14.9,18.299999,6
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
11.54,25.6,0
11.54,30.110001,0
-16.0,18.299999,6
-16.0,18.299999,6
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
27.15,9.81,2
-3.4,31.450001,3
27.15,9.81,2
29.1,9.81,2
11.54,30.110001,0
11.54,30.110001,0
-16.0,18.299999,6
11.54,25.6,0
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
-3.4,31.450001,3
-3.4,31.450001,3
11.54,25.6,0
27.15,9.81,2
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
-3.4,31.450001,3
-3.4,31.450001,3
27.15,9.81,2
27.15,9.81,2
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
11.54,25.6,0
-3.4,31.450001,3
-3.4,31.450001,3
-3.4,31.450001,3
11.54,30.110001,0
27.15,9.81,2
-3.4,31.450001,3
11.54,25.6,0
11.54,30.110001,0
11.54,25.6,0
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
27.5,9.81,2
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
11.54,30.110001,0
27.15,9.81,2
27.15,9.81,2
11.54,30.110001,0
36.799999,8.01,7
34.48,2.95,1
15.28,25.940001,5
18.34,22.940001,5
16.440001,22.030001,5
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
18.34,22.940001,5
18.34,22.940001,5
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
34.48,2.95,1
34.48,5.4,1
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
34.48,5.4,1
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
36.799999,9.1,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
34.48,2.95,1
36.799999,9.1,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,2.8,1
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.200001,8.01,7
36.799999,8.01,7
36.799999,8.01,7
34.48,2.95,1
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
36.799999,8.01,7
