x,y,cluster
-9.16,24.08,1
-8.38,29.5,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-12.6,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,26.200001,1
-9.16,24.08,1
-9.16,36.099998,1
-9.16,24.08,1
-9.16,24.08,1
-20.6,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-20.6,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,26.200001,1
-9.16,33.200001,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,26.200001,1
-9.16,24.08,1
-9.16,26.200001,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,26.200001,1
-9.16,26.200001,1
-9.16,26.200001,1
-9.16,26.200001,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,26.200001,1
-9.16,26.200001,1
-9.16,26.200001,1
-9.16,24.08,1
-9.16,26.200001,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,26.200001,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,26.200001,1
-9.16,26.200001,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,24.08,1
-1.8,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,28.0,1
-9.16,24.08,1
-11.6,25.09,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-11.6,25.09,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,28.0,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,31.0,1
-10.77,32.66,1
-10.77,32.66,1
-12.8,24.08,1
-10.77,28.0,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,28.0,1
-10.77,32.66,1
-12.8,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-16.200001,29.4,1
-10.77,32.66,1
-4.4,23.799999,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-4.4,23.799999,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-7.8,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-4.4,23.799999,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,32.66,1
-4.4,23.799999,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,23.9,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-4.4,23.799999,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,21.799999,1
-10.77,32.66,1
-10.77,32.66,1
-4.4,23.799999,1
-16.5,23.799999,1
-10.77,32.66,1
-10.77,32.66,1
-4.4,23.799999,1
-9.16,24.08,1
-10.77,32.66,1
-15.6,32.66,1
-10.77,32.66,1
-4.4,23.799999,1
-16.5,23.799999,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,32.66,1
-16.5,23.799999,1
-10.77,32.66,1
-5.9,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-10.77,32.66,1
-16.5,23.799999,1
-16.5,23.799999,1
-10.77,32.66,1
-10.77,32.66,1
-10.77,32.66,1
