42.099998;22.200001;5.080000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.510000,-39.540001;14.920000;2.450000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;25.400000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;33.599998;3.400000,-39.540001;20.100000;2.890000,37.389999;2.720000;1.250000,0,-1
20.799999;25.400000;3.310000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;25.400000;4.510000,-39.540001;10.900000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-36.500000;24.910000;4.510000,-41.200001;14.920000;0.180000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.130000,-39.540001;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
-33.700001;-7.800000;0.550000,-5.730000;26.270000;4.750000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.450000,-30.900000;-8.070000;3.870000,1,12
20.799999;42.500000;3.310000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
20.799999;27.600000;3.310000,-39.540001;11.900000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;25.400000;4.510000,-39.540001;6.400000;2.890000,-30.900000;-8.070000;3.870000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;3.850000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;6.630000;0.550000,-38.599998;26.270000;3.850000,37.389999;2.720000;1.250000,0,-1
-36.900002;6.630000;0.550000,-5.730000;26.270000;3.850000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;2.270000,-42.000000;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.130000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;25.400000;4.510000,-39.540001;24.400000;2.890000,-30.900000;-8.070000;3.870000,1,12
26.700001;24.910000;4.510000,-39.540001;14.920000;2.450000,-30.900000;-8.070000;3.870000,0,-1
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;25.299999;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;26.500000;4.510000,-39.540001;24.500000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;2.270000,-42.000000;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;2.270000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
-7.300000;24.910000;4.130000,-42.000000;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;1.010000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.130000,-37.099998;24.500000;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.130000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
-36.900002;6.630000;0.550000,-5.730000;26.270000;3.850000,37.389999;2.720000;1.250000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
13.100000;24.910000;2.270000,-39.540001;24.500000;2.890000,37.389999;2.720000;1.250000,1,12
-7.700000;26.500000;4.510000,-37.099998;15.000000;1.920000,37.389999;2.720000;1.250000,1,12
12.070000;20.600000;4.130000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;1.010000,-37.099998;24.500000;1.920000,37.389999;2.720000;1.250000,1,12
8.800000;24.910000;1.010000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,1,12
8.500000;24.910000;4.130000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,38.099998;24.500000;1.920000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;4.130000,37.299999;20.299999;5.520000,-30.900000;-8.070000;3.870000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
13.100000;24.910000;2.270000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-33.700001;4.600000;0.550000,-39.540001;40.200001;2.890000,37.389999;2.720000;1.250000,0,-1
-42.099998;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;20.600000;4.130000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-27.100000;24.910000;1.010000,-37.099998;28.299999;1.920000,37.389999;2.720000;1.250000,0,-1
8.800000;24.910000;1.010000,-37.099998;-7.300000;1.920000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.070000,37.389999;2.720000;1.250000,1,13
8.500000;23.900000;4.130000,-39.540001;14.920000;3.370000,-30.900000;-8.070000;3.870000,1,12
